login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
codescientists,codescientists/taskie,2024-05-31T17:05:11Z,0,0,TypeScript,True,True,
codescientists,codescientists/techloom,2023-12-28T10:33:22Z,1,1,TypeScript,True,True,
codescientists,codescientists/thread,2023-10-12T05:26:39Z,0,0,TypeScript,True,True,
codescientists,codescientists/uniswap-clone,2022-02-20T11:30:04Z,4,4,JavaScript,True,True,
codescientists,codescientists/visioncraft-ai,2024-02-28T06:50:55Z,0,0,TypeScript,True,True,
codescientists,codescientists/yt-shorts-clone,2022-08-15T14:22:39Z,5,5,TypeScript,True,True,
amangoeliitb,amangoeliitb/amansblog,2015-06-07T13:19:24Z,3,3,Java,True,True,
amangoeliitb,amangoeliitb/Basic-Google-OAuth-App,2016-10-06T16:37:40Z,0,0,Python,True,True,
amangoeliitb,amangoeliitb/CareerHigh-Doubts,2019-02-01T06:18:23Z,2,2,,True,True,
amangoeliitb,amangoeliitb/Convolutional-Neural-Network-for-Car-Recognition,2016-11-24T08:39:28Z,10,10,Python,True,True,
amangoeliitb,amangoeliitb/Deduplicating-FileSystem-using-FUSE,2016-11-08T20:14:22Z,3,3,Python,True,True,
amangoeliitb,amangoeliitb/Genetic-Algorithm,2015-11-23T15:31:54Z,11,11,Java,True,True,
amangoeliitb,amangoeliitb/jitsi-build,2020-09-12T13:33:04Z,0,0,,True,True,
amangoeliitb,amangoeliitb/jitsi-build-repo,2021-07-14T12:49:48Z,0,0,,True,True,
amangoeliitb,amangoeliitb/jitsi-meet,2020-09-12T13:29:19Z,0,0,,True,True,
amangoeliitb,amangoeliitb/jitsi-meet-cognoai,2021-05-26T09:56:21Z,0,0,JavaScript,True,True,apache-2.0
amangoeliitb,amangoeliitb/Rocket.Chat.ReactNative,2021-02-20T05:30:11Z,0,0,JavaScript,True,False,mit
amangoeliitb,amangoeliitb/tensorflow,2016-10-15T06:33:35Z,7,7,Python,True,True,
debugger22,debugger22/amountinwords,2013-06-25T06:13:00Z,0,0,Python,True,True,
debugger22,debugger22/android-simple-facebook,2014-05-28T20:23:22Z,0,0,Java,True,True,other
debugger22,debugger22/Applozic-Android-SDK,2017-10-11T07:31:07Z,0,0,Java,True,True,bsd-3-clause
debugger22,debugger22/arrow-hero,2015-07-01T15:15:29Z,0,0,CSS,True,True,mit
debugger22,debugger22/Awair-Android,2014-02-12T07:12:28Z,0,0,Java,True,True,
debugger22,debugger22/awesome-python,2014-07-12T06:57:03Z,1,1,,True,False,
debugger22,debugger22/bigbang,2015-07-08T16:56:55Z,0,0,Python,True,True,gpl-2.0
debugger22,debugger22/BinPy,2014-02-14T07:24:10Z,0,0,Python,True,True,other
debugger22,debugger22/BinPyDesk,2014-05-24T06:41:24Z,0,0,Python,True,True,other
debugger22,debugger22/black,2021-12-17T23:08:44Z,0,0,,True,True,mit
debugger22,debugger22/Bluetooth,2013-09-29T18:15:23Z,0,0,Java,True,True,
debugger22,debugger22/capastr,2013-12-16T12:05:37Z,0,0,Python,True,True,other
debugger22,debugger22/cf-bus-chat-service,2022-11-14T17:04:59Z,0,0,,True,True,
debugger22,debugger22/chrono,2014-04-15T19:06:46Z,0,0,C++,True,True,bsd-3-clause
debugger22,debugger22/comic-aggregator,2013-10-09T17:34:06Z,1,1,C++,True,True,mit
debugger22,debugger22/CompGraphics,2014-09-30T09:37:29Z,0,0,C,True,True,mit
debugger22,debugger22/covid19-vaccine-slot-hustler,2021-05-19T13:04:46Z,6,6,Python,True,True,mit
debugger22,debugger22/create_ap,2015-05-02T21:47:31Z,0,0,Shell,True,True,bsd-2-clause
debugger22,debugger22/cryptominisat,2015-04-04T18:15:14Z,0,0,C++,True,False,lgpl-3.0
debugger22,debugger22/ctci,2015-07-15T17:46:26Z,0,0,Java,True,True,
debugger22,debugger22/cte,2014-11-08T10:40:18Z,0,0,,True,True,mit
debugger22,debugger22/cte-python-notebooks,2014-08-24T20:32:09Z,3,3,,True,True,mit
debugger22,debugger22/cw-advandroid,2014-04-13T11:46:48Z,0,0,Java,True,False,other
debugger22,debugger22/debugger22,2022-04-23T08:41:26Z,0,0,,True,False,
debugger22,debugger22/debugger22.github.io,2014-04-23T14:06:05Z,0,0,HTML,True,True,
debugger22,debugger22/debugger22.github.io-source,2015-05-01T12:48:34Z,1,1,Makefile,True,True,
debugger22,debugger22/demo-apps,2015-09-05T06:17:08Z,0,0,C,True,True,other
debugger22,debugger22/django,2017-04-05T09:39:23Z,0,0,Python,True,False,bsd-3-clause
debugger22,debugger22/docs,2021-09-01T07:52:03Z,0,0,,True,True,
debugger22,debugger22/eden,2014-05-25T12:01:10Z,0,0,Python,True,True,other
shifa123,shifa123/7701-A,2021-10-15T21:27:02Z,0,0,,True,True,
shifa123,shifa123/anilstko,2020-01-28T14:29:29Z,0,0,,True,True,
shifa123,shifa123/Awesome-Security-CheckLists,2023-12-10T11:22:06Z,0,0,,True,True,
shifa123,shifa123/bbv3.sh,2020-10-16T12:07:51Z,3,3,Shell,True,True,
shifa123,shifa123/best-dns-wordlist,2022-06-06T19:12:04Z,1,1,,True,True,
shifa123,shifa123/betatakeover,2020-04-30T16:57:05Z,1,1,,True,True,
shifa123,shifa123/bugbountyDorks,2020-04-18T19:31:18Z,230,230,,True,True,
shifa123,shifa123/burpfakeip,2021-07-23T17:58:01Z,1,1,Python,True,True,
shifa123,shifa123/burpy2.0,2018-11-22T07:53:57Z,0,0,,True,True,
shifa123,shifa123/Can-I-take-over-xyz-v2,2020-10-21T19:57:47Z,47,47,,True,True,
shifa123,shifa123/challs,2023-11-01T18:39:03Z,0,0,,True,True,
shifa123,shifa123/chaos-hunt,2020-09-25T19:38:05Z,35,35,Shell,True,True,
shifa123,shifa123/clickjack,2020-11-07T10:03:31Z,6,6,Python,True,True,
shifa123,shifa123/clickjackingpoc,2020-09-17T07:42:29Z,52,52,CSS,True,True,gpl-2.0
shifa123,shifa123/Course-Resources,2021-02-18T14:53:48Z,1,1,,True,True,
shifa123,shifa123/crt.sh,2020-10-02T14:06:41Z,2,2,,True,True,
shifa123,shifa123/CrtshonCLI,2023-11-05T10:31:29Z,0,0,Shell,True,True,
shifa123,shifa123/csrf-poc-generator,2023-12-10T10:32:59Z,0,0,JavaScript,True,True,
shifa123,shifa123/csvinjection,2022-03-03T08:54:55Z,6,6,,True,True,
shifa123,shifa123/CVE-2020-13942-POC-,2020-11-20T23:25:44Z,9,9,,True,True,
shifa123,shifa123/demoofgithubrecon,2022-05-01T07:32:58Z,0,0,,True,True,
shifa123,shifa123/detections,2021-06-23T22:40:37Z,4,4,,True,True,
shifa123,shifa123/EH-Tools,2024-06-08T09:11:59Z,0,0,Shell,True,True,
shifa123,shifa123/Example-Dapp,2022-11-23T06:43:30Z,6,6,JavaScript,True,True,
shifa123,shifa123/f5BigIPExploit,2020-07-12T22:30:14Z,9,9,,True,True,
shifa123,shifa123/Frida-Scripts,2023-10-11T16:46:58Z,2,2,JavaScript,True,True,
shifa123,shifa123/githubdorks,2020-06-28T22:32:36Z,17,17,,True,True,
shifa123,shifa123/githubleak,2021-04-29T13:20:18Z,3,3,JavaScript,True,True,
shifa123,shifa123/GNA-Cybersecurity-Tools,2024-06-12T08:48:45Z,0,0,,True,True,
shifa123,shifa123/hackerpulkitSubDomainTakeOver,2019-12-18T10:41:21Z,0,0,,True,True,
shyamseshadri,shyamseshadri/angular,2014-11-08T16:56:02Z,0,0,,True,True,apache-2.0
shyamseshadri,shyamseshadri/angular-phonecat,2012-08-03T12:45:58Z,8,8,JavaScript,True,True,
shyamseshadri,shyamseshadri/angular-seed,2012-08-14T13:41:42Z,9,9,JavaScript,True,True,
shyamseshadri,shyamseshadri/angular-up-and-running,2017-08-20T03:12:42Z,147,147,TypeScript,True,True,
shyamseshadri,shyamseshadri/angular-workshop,2018-09-05T11:36:08Z,2,2,TypeScript,True,True,
shyamseshadri,shyamseshadri/angular2-playground,2016-09-14T12:23:04Z,0,0,TypeScript,True,True,mit
shyamseshadri,shyamseshadri/angularjs-book,2013-02-09T09:45:28Z,1633,1633,HTML,True,True,
shyamseshadri,shyamseshadri/angularjs-directive-workshop,2015-02-11T14:24:10Z,2,2,JavaScript,True,True,
shyamseshadri,shyamseshadri/angularjs-up-and-running,2014-05-23T05:39:02Z,464,464,JavaScript,True,True,mit
shyamseshadri,shyamseshadri/angularjs-workshop,2013-03-12T04:10:12Z,2,2,JavaScript,True,True,
shyamseshadri,shyamseshadri/angularjs-workshop-3-day,2013-12-03T18:18:41Z,14,14,JavaScript,True,True,
